AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
25–34,Female ,1–3 hours ,Always ,Moderately ,Always,Often ,Significantly,Significantly ,Often ,Always ,Always ,Often,Often ,Always ,Moderately ,youtube,Always ,Significantly ,8,6,7,7.0,4
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Always ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,8,6,5,6.333333333333333,3
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Always,Often ,Significantly,Significantly ,Always ,Rarely ,Always ,Rarely,Rarely ,Rarely ,Significantly ,youtube,Often ,Moderately ,8,2,7,5.666666666666667,3
25–34,Male ,More than 3 hours ,Sometimes ,Moderately ,Always,Sometimes ,Significantly,Significantly ,Often ,Sometimes ,Often ,Always,Always ,Often ,Significantly ,facebook,Often ,Slightly ,8,8,7,7.666666666666667,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Sometimes ,Often ,Often ,Always,Often ,Always ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,2,4,3,3.0,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely,Rarely ,Sometimes ,Significantly ,facebook,Rarely ,Slightly ,4,2,3,3.0,2
25–34,Male ,More than 3 hours ,Always ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,8,7,7.0,4
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Always ,Always,Always ,Often ,Moderately ,youtube,Always ,Moderately ,6,8,5,6.333333333333333,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Rarely ,Rarely ,Sometimes ,Often,Sometimes ,Sometimes ,Moderately ,others,Sometimes ,Moderately ,4,6,5,5.0,3
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Sometimes,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Often ,Significantly ,tiktok,Always ,Significantly ,4,8,7,6.333333333333333,4
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Slightly,Moderately ,Rarely ,Rarely ,Sometimes ,Sometimes,Often ,Often ,Significantly ,facebook,Often ,Significantly ,6,4,3,4.333333333333333,4
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Not at all ,youtube,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Significantly ,instagram,Often ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Always ,Moderately ,Sometimes,Often ,Slightly,Significantly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Always ,Often ,Often ,Always,Often ,Always ,Significantly ,tiktok,Often ,Moderately ,6,8,7,7.0,3
Below 18,Female ,Less than 1 hour ,Often ,Not at all ,Rarely,Sometimes ,Slightly,Significantly ,Often ,Sometimes ,Often ,Often,Often ,Often ,Slightly ,linkedin,Sometimes ,Moderately ,2,6,3,3.6666666666666665,3
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Rarely ,Sometimes ,Often ,Sometimes,Rarely ,Sometimes ,Significantly ,facebook,Always ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Rarely ,Rarely ,Moderately ,facebook,Sometimes ,Slightly ,6,6,5,5.666666666666667,2
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Moderately,Slightly ,Often ,Sometimes ,Sometimes ,Rarely,Sometimes ,Rarely ,Moderately ,linkedin,Sometimes ,Slightly ,2,2,5,3.0,2
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes,Rarely ,Not at all,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,snapchat,Sometimes ,Not at all ,4,4,1,3.0,1
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Rarely ,Not at all ,youtube,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,instagram,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Often ,Sometimes ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Always ,Significantly ,4,4,3,3.6666666666666665,4
25–34,Male ,Less than 1 hour ,Sometimes ,Not at all ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Sometimes ,Rarely ,Rarely,Often ,Rarely ,Slightly ,facebook,Rarely ,Slightly ,2,2,3,2.3333333333333335,2
25–34,Male ,Less than 1 hour ,Sometimes ,Not at all ,Sometimes,Sometimes ,Slightly,Significantly ,Always ,Often ,Often ,Often,Always ,Often ,Significantly ,facebook,Sometimes ,Significantly ,4,6,3,4.333333333333333,4
18–24,Male ,1–3 hours ,Always ,Significantly ,Always,Often ,Significantly,Significantly ,Often ,Often ,Always ,Always,Always ,Often ,Moderately ,youtube,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Always ,Always,Often ,Always ,Significantly ,facebook,Always ,Significantly ,6,8,5,6.333333333333333,4
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes,Often ,Sometimes ,Slightly ,snapchat,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Not at all ,youtube,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,1–3 hours ,Often ,Slightly ,Often,Sometimes ,Moderately,Significantly ,Always ,Sometimes ,Often ,Often,Often ,Sometimes ,Slightly ,instagram,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,instagram,Sometimes ,Not at all ,4,4,3,3.6666666666666665,1
18–24,Male ,More than 3 hours ,Always ,Moderately ,Sometimes,Often ,Slightly,Significantly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes,Often ,Not at all,Significantly ,Rarely ,Sometimes ,Often ,Always,Always ,Rarely ,Slightly ,tiktok,Sometimes ,Significantly ,4,8,1,4.333333333333333,4
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Always ,Often ,Significantly ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,1–3 hours ,Rarely ,Slightly ,Sometimes,Sometimes ,Not at all,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,4,4,1,3.0,2
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Moderately ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
18–24,Female ,1–3 hours ,Sometimes ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Often ,Always ,Always,Often ,Often ,Moderately ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,1–3 hours ,Always ,Moderately ,Often,Always ,Significantly,Moderately ,Always ,Often ,Always ,Always,Always ,Always ,Moderately ,facebook,Often ,Moderately ,6,8,7,7.0,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Rarely ,Always ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Moderately,Moderately ,Often ,Sometimes ,Often ,Sometimes,Often ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,instagram,Sometimes ,Not at all ,4,4,3,3.6666666666666665,1
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Often ,Always,Sometimes ,Rarely ,Slightly ,instagram,Sometimes ,Slightly ,4,8,5,5.666666666666667,2
25–34,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Always ,Often ,Often ,Always,Often ,Often ,Moderately ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Moderately ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Other ,More than 3 hours ,Always ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,8,6,5,6.333333333333333,3
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,linkedin,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,More than 3 hours ,Always ,Slightly ,Rarely,Rarely ,Not at all,Slightly ,Rarely ,Often ,Rarely ,Rarely,Often ,Rarely ,Significantly ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Moderately ,youtube,Always ,Significantly ,4,6,3,4.333333333333333,4
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Female ,Less than 1 hour ,Often ,Not at all ,Rarely,Sometimes ,Slightly,Significantly ,Often ,Sometimes ,Often ,Often,Often ,Often ,Slightly ,linkedin,Sometimes ,Moderately ,2,6,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Sometimes ,Often ,Slightly ,youtube,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Often ,Moderately ,tiktok,Often ,Moderately ,4,6,3,4.333333333333333,3
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,4,2,3,3.0,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,youtube,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Always ,Often ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
Below 18,Female ,1–3 hours ,Sometimes ,Significantly ,Often,Always ,Significantly,Significantly ,Always ,Often ,Always ,Always,Always ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,7,7.0,4
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Rarely ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Moderately ,youtube,Always ,Significantly ,4,6,3,4.333333333333333,4
25–34,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,others,Always ,Moderately ,8,8,7,7.666666666666667,3
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Rarely ,Often ,Rarely ,Sometimes,Always ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Sometimes ,Moderately ,facebook,Often ,Significantly ,2,2,3,2.3333333333333335,4
Below 18,Other ,More than 3 hours ,Always ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,8,6,5,6.333333333333333,3
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Slightly ,Always ,Often ,Always ,Often,Always ,Often ,Significantly ,tiktok,Often ,Significantly ,4,6,5,5.0,4
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,4,2,3,3.0,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Rarely ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Often ,Moderately ,youtube,Sometimes ,Slightly ,6,4,5,5.0,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Sometimes ,Not at all,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Sometimes ,Moderately ,youtube,Often ,Not at all ,6,2,1,3.0,1
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Always ,Moderately,Significantly ,Often ,Often ,Always ,Always,Often ,Always ,Significantly ,youtube,Often ,Significantly ,8,8,5,7.0,4
25–34,Female ,1–3 hours ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,linkedin,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Often ,Slightly ,facebook,Sometimes ,Slightly ,4,6,3,4.333333333333333,2
18–24,Female ,1–3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Often ,Significantly ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes,Always ,Often ,Not at all ,instagram,Rarely ,Moderately ,2,4,1,2.3333333333333335,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Often ,Moderately,Moderately ,Always ,Sometimes ,Often ,Often,Often ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,4,6,3,4.333333333333333,3
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Sometimes,Rarely ,Slightly,Moderately ,Often ,Often ,Often ,Sometimes,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes,Sometimes ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Sometimes ,Often ,Often ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Always,Sometimes ,Not at all,Significantly ,Always ,Sometimes ,Always ,Always,Sometimes ,Often ,Significantly ,facebook,Often ,Moderately ,8,8,1,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Slightly,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Sometimes ,Moderately ,instagram,Sometimes ,Not at all ,6,4,3,4.333333333333333,1
25–34,Male ,Less than 1 hour ,Sometimes ,Not at all ,Sometimes,Sometimes ,Slightly,Significantly ,Always ,Often ,Often ,Often,Always ,Often ,Significantly ,facebook,Sometimes ,Significantly ,4,6,3,4.333333333333333,4
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Sometimes ,Significantly ,6,8,7,7.0,4
Below 18,Male ,1–3 hours ,Often ,Slightly ,Rarely,Sometimes ,Significantly,Significantly ,Rarely ,Rarely ,Often ,Rarely,Always ,Always ,Significantly ,youtube,Sometimes ,Slightly ,2,2,7,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Slightly,Moderately ,Rarely ,Rarely ,Sometimes ,Sometimes,Often ,Often ,Significantly ,facebook,Often ,Significantly ,6,4,3,4.333333333333333,4
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Not at all ,youtube,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Always ,Significantly,Significantly ,Often ,Always ,Often ,Often,Always ,Often ,Moderately ,facebook,Often ,Significantly ,8,6,7,7.0,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Male ,Less than 1 hour ,Sometimes ,Moderately ,Always,Often ,Not at all,Slightly ,Rarely ,Rarely ,Often ,Often,Sometimes ,Often ,Slightly ,facebook,Rarely ,Not at all ,8,6,1,5.0,1
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Often ,Sometimes ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Always ,Significantly ,4,4,3,3.6666666666666665,4
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Often ,Rarely ,Moderately ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Female ,More than 3 hours ,Often ,Significantly ,Often,Always ,Slightly,Moderately ,Always ,Often ,Often ,Always,Always ,Always ,Moderately ,snapchat,Always ,Moderately ,6,8,3,5.666666666666667,3
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,others,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Sometimes ,Sometimes ,Slightly ,snapchat,Sometimes ,Slightly ,4,2,3,3.0,2
25–34,Female ,More than 3 hours ,Often ,Significantly ,Always,Often ,Significantly,Significantly ,Always ,Often ,Often ,Always,Always ,Often ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Always ,Often ,Always ,Often,Always ,Always ,Significantly ,facebook,Often ,Significantly ,8,6,7,7.0,4
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Often ,Rarely ,Moderately ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Always ,Moderately ,Sometimes,Often ,Moderately,Moderately ,Rarely ,Often ,Sometimes ,Sometimes,Always ,Rarely ,Moderately ,instagram,Sometimes ,Significantly ,4,4,5,4.333333333333333,4
18–24,Male ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Slightly ,Often ,Always ,Sometimes ,Often,Often ,Often ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
